AggUK&US,VideoUK,ElectUK,SibUK,NutUK,ParUK,UK/US
0.12,0.08,0.22,-0.02,0.2,-0.04,US
0.12,0.19,0.05,0.11,0.08,0.51,US
0.12,-0.02,-0.06,0.09,0.11,-0.44,US
0.13,0.19,0.31,0.51,-0.66,0.09,UK
0.13,-0.15,-0.35,-0.13,-0.27,-1.26,UK
0.13,0.1,0.24,0.11,-0.16,0.56,UK
0.13,0.04,0.11,0.28,0.27,0.28,UK
0.13,0.14,0.14,-0.2,-0.32,-0.21,UK
0.13,-0.13,0.11,-0.48,-0.08,-0.43,UK
0.13,-0.02,-0.09,-0.17,-0.44,0.31,US
0.13,0.75,0.56,0.3,0.82,2.41,US
0.13,-0.2,-0.02,0.21,0.11,0.08,US
0.14,0,0.01,0.16,-0.08,0.41,UK
0.14,-0.17,0.68,0.64,0.66,1.33,UK
0.14,0.98,-0.32,-0.18,0,3.99,UK
0.14,-0.08,-0.26,-0.26,0.07,0.34,UK
0.14,0.2,0.57,0.22,0.24,0,UK
0.14,0.32,0.69,0.91,0.71,-0.22,UK
0.14,0,-0.08,0,-0.02,0.43,US
0.14,-0.02,0.33,-0.11,0.15,0.08,US
0.14,0.08,-0.21,-0.03,0.1,-0.12,US
0.14,-0.23,0.12,-0.04,-0.1,-0.4,US
0.14,-0.78,-0.04,-0.65,-0.15,-1.53,US
0.15,0.02,-0.24,0.14,0.21,0.2,UK
0.15,-0.02,0.19,0.03,0.07,0.97,UK
0.15,-0.28,-0.36,0.11,-0.32,-0.19,UK
0.15,-0.13,0.18,0,0.03,-0.26,UK
0.15,-0.15,0.3,-0.17,-0.47,-1.2,UK
0.15,-0.16,-0.44,0.04,0.13,-0.16,UK
0.15,-0.18,-0.06,0.38,-0.04,-0.72,US
0.15,-0.02,0.04,0.34,0.04,0.51,US
0.15,-0.15,-0.32,-0.51,-0.15,-1.32,US
0.15,0.34,0.17,0.43,-1.25,-0.42,US
0.16,0.2,0.32,-0.15,-0.37,-1.74,UK
0.16,0.42,-0.16,0.49,1.19,1.78,UK
0.16,-0.27,-0.08,-0.33,-0.04,-0.67,UK
0.16,-0.05,0.03,-0.25,-0.4,0.41,UK
0.16,0.01,0.02,-0.23,-0.08,0.49,US
0.16,0,-0.22,0.14,0.05,-0.52,US
0.16,0.21,-0.16,0.71,-0.12,-1.96,US
0.16,-0.9,-0.31,-0.91,-0.27,-0.82,US
0.17,0.06,-0.09,0.09,-0.21,-0.29,UK
0.17,0.25,-0.08,-0.2,-0.7,1.17,UK
0.17,0.44,0.17,0.25,-0.37,0.89,UK
0.17,-0.04,-0.09,0.06,0.02,-0.47,UK
0.17,0.18,-0.3,0.18,-0.31,0.22,UK
0.18,0.25,0.61,0.14,0.14,0.34,UK
0.18,0.2,-0.3,-0.02,0.31,1.46,UK
0.18,0.18,-0.31,-0.06,0,-0.25,UK
0.18,0.67,0.21,-0.29,-0.08,-0.85,UK
0.18,-0.99,-0.01,-0.5,0.8,-0.4,US
0.18,-0.47,0.34,-0.09,0.43,-0.5,US
0.18,0.87,-0.37,0.37,0.09,1.49,US
0.19,-0.28,0.15,0.43,0.16,-0.68,UK
0.19,-0.67,-0.17,-0.06,0.42,-0.27,UK
0.19,0.15,-0.2,0.27,-0.13,-0.7,UK
0.2,0.05,0.26,-0.18,-0.11,0.31,UK
0.2,0.28,0.29,-0.28,0.16,1.8,UK
0.2,0.26,0.14,0.2,-0.61,-0.68,UK
0.2,-0.1,0.17,0.43,-0.06,-0.86,US
0.2,-0.07,0.08,0.07,-0.18,-0.87,US
0.21,-0.03,-0.22,0,-0.03,-0.24,UK
0.21,0.09,-0.22,-0.06,-0.29,-0.11,UK
0.21,0.02,0.05,0.1,0.23,0.32,UK
0.21,0.23,-0.76,-0.54,-0.12,0.69,UK
0.21,0.13,0.31,-0.35,0.75,-0.12,US
0.22,-0.66,0.82,0.35,0.12,-2.16,UK
0.22,-0.25,-0.05,-0.1,-0.21,-0.7,US
0.23,-0.01,-0.23,0.12,-0.57,-0.12,UK
0.23,0.06,-0.04,-0.14,-0.03,0.29,UK
0.23,0.57,-0.13,-0.15,-0.18,-0.07,US
0.24,-0.09,-0.59,0.07,0.11,-0.45,US
0.25,-0.12,-0.17,-0.51,0.04,-0.46,UK
0.25,0.07,0.98,0.73,0.15,-1.22,US
0.25,-0.12,-0.18,0.26,0.36,1.29,US
0.26,0.35,0.52,0.2,-0.14,1.2,US
0.26,0.1,0.12,0.26,0.55,1.56,US
0.27,-0.1,-0.52,-0.46,-0.13,-0.9,UK
0.27,0.48,-0.17,0.13,-0.23,1.73,US
0.27,0.48,-0.5,0.14,0.1,1.06,US
0.27,0.39,0.59,0.36,0.07,1.48,US
0.28,-0.22,-0.05,-0.1,0.11,0.14,UK
0.28,-0.17,-0.12,-0.09,-0.25,-0.78,UK
0.28,-0.11,0.46,-0.27,-0.85,-0.79,US
0.28,0.15,0.23,-0.58,0.27,0.94,US
0.29,0.32,0.21,-0.06,0.39,2.28,UK
0.29,0.29,0.29,0.07,0.27,0.85,US
0.3,-0.15,-0.04,-0.31,-0.05,1.3,UK
0.3,-0.12,0.16,-0.44,0.39,0.51,US
0.31,0.34,0.23,-0.71,-0.23,-1.46,UK
0.31,0.37,0.05,0.14,0.26,1.44,UK
0.31,0.57,0.23,0.18,0.05,0.96,UK
0.31,-0.12,-0.14,-0.04,0.2,-0.05,US
0.31,0.59,0.78,0.95,-0.42,1.19,US
0.31,-0.62,-0.32,-0.16,-0.34,-1.51,US
0.32,-0.18,-0.75,0.02,-0.26,-0.12,UK
0.32,0.37,-0.03,0.32,0.43,2.15,UK
0.32,0.59,0.26,0.13,0.05,1.39,UK
0.32,-0.61,0.19,-0.2,0.5,-1.39,US
0.32,0.39,-0.11,0.34,0.14,0.25,US
0.33,-0.05,-0.66,0.16,-0.3,-0.38,UK
0.33,-0.8,-0.42,-0.22,-0.2,-1.16,UK
0.33,0.03,0.32,0.72,0.67,0.43,US
0.34,0.42,0.88,0.01,0.43,1.99,UK
0.34,-0.77,-0.56,0.4,0.44,-0.87,UK
0.34,-0.01,0.25,0.39,-0.41,0.29,US
0.34,-0.36,0.35,-0.07,-0.32,-0.4,US
0.35,0.27,0.16,0.22,-0.13,-1.45,UK
0.35,0.25,0.26,0.24,0.32,1.13,US
0.35,0.02,-0.44,0.23,-0.05,-1.76,US
0.35,0.15,0.35,0.12,0.2,1.67,US
0.36,0.02,-0.12,-0.33,-0.18,0.65,UK
0.36,0.75,0.21,0.25,-0.13,2.83,US
0.36,0.07,0.39,0,-0.22,0.56,US
0.36,-0.13,0.26,-0.16,0.03,0.96,US
0.37,0.17,0.14,-0.33,-0.11,-0.28,UK
0.37,-0.07,-0.02,0.46,-0.44,1.84,UK
0.37,0.23,0.19,0.59,0.39,0.78,UK
0.37,0.24,0.56,0.22,0.43,1.02,UK
0.37,0.17,0.14,-0.33,-0.11,-0.28,UK
0.38,0.13,0.45,-0.52,-0.05,0.48,UK
0.38,0.19,0.36,0.81,0.45,-0.06,US
0.39,0.21,-0.09,-0.25,-0.03,1.57,UK
0.39,0.16,-0.12,-0.16,-0.4,0.45,UK
0.39,0.04,0.18,0.04,0.29,2.14,UK
0.39,-0.07,0.57,0.02,0.43,-1.07,US
0.39,-0.05,0.28,0.34,0.19,-0.01,US
0.4,0.22,-0.12,0.05,-0.88,0.63,UK
0.4,0.22,-0.04,0.33,0.08,-0.3,UK
0.4,-0.13,-0.05,0.22,-0.27,-1.21,UK
0.4,0.1,0.17,0.09,0.35,0.93,UK
0.4,0.52,-0.18,-0.29,-0.36,1.3,US
0.4,-0.07,0.03,0.01,0.3,-0.05,US
0.4,-0.28,-0.12,-0.07,-0.06,-1.12,US
0.4,0.37,0.25,0.27,0.19,0.43,US
0.41,-0.37,-0.74,0,-1,-0.13,UK
0.41,-0.56,0.3,-0.07,0.45,-0.89,UK
0.41,0.32,-0.17,-0.33,-0.87,-0.75,US
0.41,0.25,0.12,0.03,-0.06,-0.23,US
0.41,0.22,0.19,0.19,0,1.39,US
0.42,-0.06,0.07,-0.09,0.54,2.12,UK
0.42,-0.08,0.31,0.02,0.03,-0.43,US
0.43,0.21,-0.11,-0.16,-0.08,1.66,US
0.43,0.24,-0.76,-0.43,-0.45,1.16,US
0.44,0.17,0.68,0.29,-0.14,1.43,US
0.44,0.16,-0.02,0.24,0.38,-0.3,US
0.44,-0.25,0.42,0.45,0.25,1.19,US
0.45,-0.6,0.26,0.18,-0.25,-0.27,US
0.46,-0.33,0.61,0.36,0.2,0.41,UK
0.46,-0.04,-0.02,-0.42,0.26,-1.49,US
0.47,0.16,-0.01,0.03,0.54,-0.59,UK
0.47,0.04,-0.04,-0.44,-0.21,0.2,US
0.47,-0.29,-0.06,-0.03,-0.39,-0.7,US
0.47,-0.34,-0.31,-0.57,-0.74,-1.1,US
0.48,0.02,0.14,0.32,0.05,1.05,US
0.49,0.07,0.06,-0.5,-1.09,0.88,US
0.5,-0.22,0.62,-0.04,0.4,-0.58,UK
0.51,0.27,0.14,-0.13,0.18,1.24,US
0.53,-0.34,0.31,-0.04,0.56,0.04,UK
0.54,-0.11,0.44,0.43,-0.33,0.63,UK
0.54,-0.22,0.24,-0.11,-0.53,-0.62,US
0.55,-0.2,0.8,0.07,-0.44,2.63,UK
0.56,0.52,0.45,0.12,-0.23,0.91,US
0.56,0.38,-0.15,-0.51,-0.35,-0.49,US
0.57,0.45,0.03,0.34,-0.19,0.85,UK
0.58,-0.74,-0.51,-0.19,-0.75,-2.85,UK
0.59,0.63,-0.26,0.39,0.21,-0.33,UK
0.59,-0.14,-0.56,0.01,-0.07,1.55,US
0.6,0.16,0.09,0.26,-0.14,1.69,UK
0.61,-0.29,0.33,-0.01,-0.22,2.05,US
0.62,-0.43,-0.09,-0.11,-0.78,0.3,UK
0.62,-0.18,-0.14,0.34,-0.6,-1.03,UK
0.62,-0.1,0.75,0.48,0.06,-0.17,US
0.63,-0.12,-0.02,-0.13,-0.02,0.1,UK
0.64,-0.27,0.85,0.14,0.45,0.45,UK
0.65,-0.35,-0.07,0.18,0.5,-3.13,US
0.65,-0.36,-0.19,-0.18,0.4,0.15,US
0.66,-0.01,0.32,0.01,0.17,0.65,UK
0.66,-0.4,-0.19,0.7,0.19,0.89,UK
0.68,-0.43,-0.2,-0.05,0.15,0.62,US
0.69,0.44,0.17,0.44,0.7,1.67,UK
0.71,-0.26,1.08,-0.57,0.37,2.46,UK
0.74,0.05,0.07,0.74,0.36,0.92,UK
0.74,-0.06,-0.15,-0.1,-0.34,0.14,US
0.75,-0.46,-0.71,0.32,0.16,-1.33,UK
0.77,-0.03,0.71,0.58,-0.02,-1.25,UK
0.77,-0.01,0.93,0.56,0.3,0.32,UK
0.81,0.14,1.24,1.1,0.79,-0.02,UK
0.84,-0.53,0.63,0.01,-0.05,0.24,UK
0.85,0.08,-0.93,0.74,0.03,-0.75,UK
1.07,0.39,0.66,0.17,1.16,0.47,US
1.13,-0.07,-0.08,-0.61,-0.51,-0.65,UK
1.14,0.26,0.67,-0.22,-1.28,-0.98,UK
1.18,-0.14,-0.26,0.73,0.21,2.15,US
